Subject,Start Time,End Time,Description
Home,2023-02-09,2023-02-10,
Home,2023-02-06,2023-02-07,
Home,2023-02-07,2023-02-08,
[Info Session 2 of 2] The Championship 2023!,2023-02-02 02:00:00+00:00,2023-02-02 02:45:00+00:00,"<p>Topic: [Info Session 2 of 2] The Championship 2023!<br>Time: Feb 2, 2023 02:00 London<br><br>Join Zoom Meeting<br><a href=""https://vaynerx.zoom.us/j/84274788477?pwd=ZFZWbGxXZ0NtVVh0NGdzMUpkSk81UT09"">https://vaynerx.zoom.us/j/<wbr />84274788477?pwd=<wbr />ZFZWbGxXZ0NtVVh0NGdzMUpkSk81UT<wbr />09</a><br><br>Meeting ID: 842 7478 8477<br>Passcode: 605244<br></p><p><br></p><p><br></p><p>We are thrilled to announce the relaunch and third round of our <b>CHAMPIONSHIP PROGRAM</b> for <b>2023</b>! <br></p><p>This is not your typical mentorship dynamic. ‘The Championship’ takes the foundation of mentorship—pairing people to learn from each other—and adds the focus of championing each other, both as individuals and as employees.</p><p>The foundation of this program is based on our DEI efforts, and is built for anyone and everyone who wants 1:1 connection and support. Know that by being a Champion of others, you will in turn be Championed. It’s a win-win.</p><hr /><p>This year, we are building a program which allows for <b>multiple opportunities to engage and participate </b>depending on one's interest, goals, and commitment intentions. </p><p>These options are:</p><span><ul><li><b>Committed Mentorship</b><span> </span><span>to be placed  in a mentor/mentee pairing based on interests</span><ul><li><span>minimum commitment of monthly recurring meeting cadence for a 6 month cycle, up to 12 months</span></li><li><span>must have at least 1 year of tenure with VaynerX to participate</span></li></ul></li></ul><ul><li><b>Connections and introductions </b><span>across VaynerX </span><span>based on interests and areas of opportunity</span><ul><li><span>no fixed meeting cadence</span></li><li><span>no minimum tenure to participate</span></li></ul></li></ul></span><hr />Please reach out to the Championship team (<a href=""mailto:championship@vaynerx.com""><u>championship@vaynerx.com</u></a>) with any questions!"
[Info Session 1 of 2] The Championship 2023!,2023-01-31 17:00:00+00:00,2023-01-31 17:45:00+00:00,"Topic: [Info Session 1 of 2] The Championship 2023!<br>Time: Jan 31, 2023 17:00 London<br><br>Join Zoom Meeting<br><a href=""https://vaynerx.zoom.us/j/81440013274?pwd=YW9TN2lGTEZ3S2toRHZjZlZGRjdvdz09"">https://vaynerx.zoom.us/j/<wbr />81440013274?pwd=<wbr />YW9TN2lGTEZ3S2toRHZjZlZGRjdvdz<wbr />09</a><br><br>Meeting ID: 814 4001 3274<br>Passcode: 311629<br><p><br></p><p><br></p><p>We are thrilled to announce the relaunch and third round of our <b>CHAMPIONSHIP PROGRAM</b> for <b>2023</b>! <br></p><p>This is not your typical mentorship dynamic. ‘The Championship’ takes the foundation of mentorship—pairing people to learn from each other—and adds the focus of championing each other, both as individuals and as employees.</p><p>The foundation of this program is based on our DEI efforts, and is built for anyone and everyone who wants 1:1 connection and support. Know that by being a Champion of others, you will in turn be Championed. It’s a win-win.</p><hr /><p>This year, we are building a program which allows for <b>multiple opportunities to engage and participate </b>depending on one's interest, goals, and commitment intentions. </p><p>These options are:</p><span><ul><li><b>Committed Mentorship</b><span> </span><span>to be placed in a mentor/mentee pairing based on interests</span><ul><li><span>minimum commitment of monthly recurring meeting cadence for a 6 month cycle, up to 12 months</span></li><li><span>must have at least 1 year of tenure with VaynerX to participate</span></li></ul></li></ul><ul><li><b>Connections and introductions </b><span><b>across VaynerX</b> based on interests and areas of opportunity</span><ul><li><span>no fixed meeting cadence</span></li><li><span>no minimum tenure to participate</span></li></ul></li></ul></span><hr /><br>Please reach out to the Championship team (<a href=""mailto:championship@vaynerx.com""><u><u>championship@vaynerx.com</u></u></a>) with any questions!"
Analytics Deck,2023-02-09 14:00:00+00:00,2023-02-09 15:30:00+00:00,
VVM Deck,2023-02-09 15:30:00+00:00,2023-02-09 16:30:00+00:00,
Break,2023-02-09 20:00:00+00:00,2023-02-09 20:30:00+00:00,
Excel - Level 1,2023-02-09 16:30:00+00:00,2023-02-09 17:00:00+00:00,
Shift Training,2023-02-10 14:00:00+00:00,2023-02-10 15:00:00+00:00,
Slack Reading,2023-02-10 15:00:00+00:00,2023-02-10 16:00:00+00:00,
Media 101,2023-02-10 16:00:00+00:00,2023-02-10 17:00:00+00:00,
Assignment Prep,2023-02-10 20:00:00+00:00,2023-02-10 22:00:00+00:00,
Winter 2023 Resident / ASSIGNMENT: INTRO Part 1/Briefing,2023-02-10 18:00:00+00:00,2023-02-10 18:15:00+00:00,"Hunter Durkin is inviting you to a scheduled Zoom meeting.<br><br>Topic: Winter 2023 Resident / ASSIGNMENT: INTRO Part 1/Briefing<br>Time: Feb 10, 2023 01:00 PM Eastern Time (US and Canada)<br><br>Join Zoom Meeting<br><a href=""https://vaynerx.zoom.us/j/84521456289?pwd=VWhmTm5CUEc0d3lsVEVqM2IzOS8zZz09"">https://vaynerx.zoom.us/j/84521456289?pwd=VWhmTm5CUEc0d3lsVEVqM2IzOS8zZz09</a><br><br>Meeting ID: 845 2145 6289<br>Passcode: 11111<br>One tap mobile<br>+19294362866,,84521456289#,,,,*11111# US (New York)<br>+16469313860,,84521456289#,,,,*11111# US<br><br>Dial by your location<br>        +1 929 436 2866 US (New York)<br>        +1 646 931 3860 US<br>        +1 312 626 6799 US (Chicago)<br>        +1 301 715 8592 US (Washington DC)<br>        +1 305 224 1968 US<br>        +1 309 205 3325 US<br>        +1 507 473 4847 US<br>        +1 564 217 2000 US<br>        +1 669 444 9171 US<br>        +1 669 900 6833 US (San Jose)<br>        +1 689 278 1000 US<br>        +1 719 359 4580 US<br>        +1 253 205 0468 US<br>        +1 253 215 8782 US (Tacoma)<br>        +1 346 248 7799 US (Houston)<br>        +1 360 209 5623 US<br>        +1 386 347 5053 US<br>Meeting ID: 845 2145 6289<br>Passcode: 11111<br>Find your local number: <a href=""https://vaynerx.zoom.us/u/kpH4M01JJ"">https://vaynerx.zoom.us/u/kpH4M01JJ</a>"
Virtual Orientation: Comms Team,2023-02-09 20:30:00+00:00,2023-02-09 21:00:00+00:00,"3:30- 4:00PM<br><a href=""https://meet.google.com/xdw-osia-aff"">Comms Team</a>"
Orientation : Finance ,2023-02-10 18:15:00+00:00,2023-02-10 18:30:00+00:00,"1:15PM- 1:30PM<br><a href=""https://meet.google.com/qmv-esrp-nzh"">Finance</a>"
Excel - Intermediate,2023-02-13 14:00:00+00:00,2023-02-13 15:30:00+00:00,
Excel - Advanced,2023-02-13 15:30:00+00:00,2023-02-13 17:00:00+00:00,
Break,2023-02-13 18:00:00+00:00,2023-02-13 19:00:00+00:00,
Read about MTA/MMM,2023-02-13 20:00:00+00:00,2023-02-13 21:00:00+00:00,
Slack Assignment,2023-02-13 21:00:00+00:00,2023-02-13 21:30:00+00:00,
Articles/Slack/Mail,2023-02-14 14:00:00+00:00,2023-02-14 15:00:00+00:00,
Assignment Prep - Spotify wrapped,2023-02-14 15:00:00+00:00,2023-02-14 15:30:00+00:00,
Read about social listening,2023-02-14 15:30:00+00:00,2023-02-14 16:00:00+00:00,
Analytics Ethos and Vayner Terms Reading,2023-02-14 16:00:00+00:00,2023-02-14 17:00:00+00:00,
Break,2023-02-14 18:00:00+00:00,2023-02-14 19:00:00+00:00,
Read the decks for tomorrow,2023-02-13 21:30:00+00:00,2023-02-13 23:00:00+00:00,
Welcome to Consulting!! ,2023-02-14 20:00:00+00:00,2023-02-14 20:30:00+00:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/khx-edka-aax
Or dial: (US) +1 605-620-1252 PIN: 258769718#
More phone numbers: https://tel.meet/khx-edka-aax?pin=5683741081050&hs=7

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-"
SQL Crash Course,2023-02-14 20:30:00+00:00,2023-02-14 22:00:00+00:00,
Practise SQL,2023-02-14 22:00:00+00:00,2023-02-14 23:00:00+00:00,
SQL,2023-02-15 14:00:00+00:00,2023-02-15 15:30:00+00:00,
Trishita / Mac 1:1,2023-02-15 15:30:00+00:00,2023-02-15 15:45:00+00:00,"-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-
Join with Google Meet: https://meet.google.com/qyr-zxwy-dgi
Or dial: (US) +1 484-416-1650 PIN: 558338238#
More phone numbers: https://tel.meet/qyr-zxwy-dgi?pin=8654798442347&hs=7

Learn more about Meet at: https://support.google.com/a/users/answer/9282720

Please do not edit this section.
-::~:~::~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~:~::~:~::-"
Call with Mac,2023-02-15 15:30:00+00:00,2023-02-15 16:00:00+00:00,
Break,2023-02-15 16:00:00+00:00,2023-02-15 17:00:00+00:00,
VVM Reading,2023-02-15 18:00:00+00:00,2023-02-15 19:00:00+00:00,
Email Assignment,2023-02-15 19:30:00+00:00,2023-02-15 20:30:00+00:00,
Wrap up SQL Syntax reading,2023-02-15 20:30:00+00:00,2023-02-15 21:30:00+00:00,
Assignment 1 - Wrap up,2023-02-15 21:30:00+00:00,2023-02-15 23:00:00+00:00,
